variable	Date	layer	mean_value	data_type
Chlorophyll-a	2018-12-04	0-20 m	1.68115975281443	obs
Chlorophyll-a	2018-12-04	20 m to bottom	1.85740180805978	obs
Chlorophyll-a	2019-03-19	0-20 m	6.96268050887169	obs
Chlorophyll-a	2019-03-19	20 m to bottom	6.98462331656713	obs
Chlorophyll-a	2019-04-16	0-20 m	6.92410530979481	obs
Chlorophyll-a	2019-04-16	20 m to bottom	7.84344728924176	obs
Chlorophyll-a	2019-05-14	0-20 m	5.07518518824916	obs
Chlorophyll-a	2019-05-14	20 m to bottom	12.1921906413857	obs
Chlorophyll-a	2019-06-11	0-20 m	2.38831956234579	obs
Chlorophyll-a	2019-06-11	20 m to bottom	5.74403016656884	obs
Chlorophyll-a	2019-07-09	0-20 m	1.77151152920426	obs
Chlorophyll-a	2019-07-09	20 m to bottom	3.23557229934826	obs
Chlorophyll-a	2019-08-06	0-20 m	1.90058970411376	obs
Chlorophyll-a	2019-08-06	20 m to bottom	1.43789958328957	obs
Chlorophyll-a	2019-09-03	0-20 m	2.84173759435533	obs
Chlorophyll-a	2019-09-03	20 m to bottom	1.67578115666131	obs
Chlorophyll-a	2019-10-01	0-20 m	3.19309035874624	obs
Chlorophyll-a	2019-10-01	20 m to bottom	2.16823800727812	obs
Chlorophyll-a	2019-11-05	0-20 m	3.32948785470635	obs
Chlorophyll-a	2019-11-05	20 m to bottom	2.1211852163253	obs
Chlorophyll-a	2019-12-03	0-20 m	2.18316414959079	obs
Chlorophyll-a	2019-12-03	20 m to bottom	1.80631200622177	obs
Chlorophyll-a	2020-03-24	0-20 m	9.50020942141506	obs
Chlorophyll-a	2020-03-24	20 m to bottom	9.00388121361629	obs
Chlorophyll-a	2020-04-21	0-20 m	9.37171514667416	obs
Chlorophyll-a	2020-04-21	20 m to bottom	7.98173519114155	obs
Chlorophyll-a	2020-05-12	0-20 m	6.50812544171712	obs
Chlorophyll-a	2020-05-12	20 m to bottom	6.27118374278806	obs
Chlorophyll-a	2020-06-09	0-20 m	2.89486999738539	obs
Chlorophyll-a	2020-06-09	20 m to bottom	3.30389589299936	obs
Chlorophyll-a	2020-07-07	0-20 m	2.58754289897776	obs
Chlorophyll-a	2020-07-07	20 m to bottom	2.69414990922142	obs
Chlorophyll-a	2020-08-04	0-20 m	2.89108128219315	obs
Chlorophyll-a	2020-08-04	20 m to bottom	1.85404080095744	obs
Chlorophyll-a	2020-09-08	0-20 m	4.04320045823268	obs
Chlorophyll-a	2020-09-08	20 m to bottom	2.78305271453872	obs
Chlorophyll-a	2020-10-06	0-20 m	2.99612045081588	obs
Chlorophyll-a	2020-10-06	20 m to bottom	1.82256936889293	obs
Chlorophyll-a	2020-11-03	0-20 m	2.03850340255245	obs
Chlorophyll-a	2020-11-03	20 m to bottom	1.62496578369135	obs
Chlorophyll-a	2020-12-01	0-20 m	2.3886358068273	obs
Chlorophyll-a	2020-12-01	20 m to bottom	1.80446300842041	obs
Chlorophyll-a	2021-03-23	0-20 m	13.7573612113252	obs
Chlorophyll-a	2021-03-23	20 m to bottom	15.2665135893856	obs
Chlorophyll-a	2021-04-20	0-20 m	12.9949237773104	obs
Chlorophyll-a	2021-04-20	20 m to bottom	11.9183438798839	obs
Chlorophyll-a	2021-05-18	0-20 m	3.67652260573511	obs
Chlorophyll-a	2021-05-18	20 m to bottom	3.39210648998255	obs
Chlorophyll-a	2021-06-08	0-20 m	3.64969132427162	obs
Chlorophyll-a	2021-06-08	20 m to bottom	3.40714447118029	obs
Chlorophyll-a	2021-07-06	0-20 m	3.23149277930161	obs
Chlorophyll-a	2021-07-06	20 m to bottom	3.21248539154206	obs
Chlorophyll-a	2021-08-03	0-20 m	1.31166235112799	obs
Chlorophyll-a	2021-08-03	20 m to bottom	1.18884995670664	obs
Chlorophyll-a	2021-09-07	0-20 m	2.25360747467215	obs
Chlorophyll-a	2021-09-07	20 m to bottom	0.717778846244476	obs
Chlorophyll-a	2021-10-05	0-20 m	1.88236653916468	obs
Chlorophyll-a	2021-10-05	20 m to bottom	0.805704699254493	obs
Chlorophyll-a	2021-11-02	0-20 m	1.64246268923723	obs
Chlorophyll-a	2021-11-02	20 m to bottom	1.11901359700014	obs
Chlorophyll-a	2021-12-07	0-20 m	1.46385464097321	obs
Chlorophyll-a	2021-12-07	20 m to bottom	1.39988642407208	obs
Chlorophyll-a	2022-03-22	0-20 m	5.40762419860989	obs
Chlorophyll-a	2022-03-22	20 m to bottom	5.39867352589806	obs
Chlorophyll-a	2022-04-19	0-20 m	3.33424938165302	obs
Chlorophyll-a	2022-04-19	20 m to bottom	5.62712457051253	obs
Chlorophyll-a	2022-05-17	0-20 m	5.09095603957796	obs
Chlorophyll-a	2022-05-17	20 m to bottom	4.38926313434952	obs
Chlorophyll-a	2022-06-07	0-20 m	2.85162045613804	obs
Chlorophyll-a	2022-06-07	20 m to bottom	1.64859142345274	obs
Chlorophyll-a	2022-07-05	0-20 m	3.39014001238167	obs
Chlorophyll-a	2022-07-05	20 m to bottom	0.766054799091327	obs
Chlorophyll-a	2022-08-02	0-20 m	2.18763817849642	obs
Chlorophyll-a	2022-08-02	20 m to bottom	2.12677427468043	obs
Chlorophyll-a	2022-09-06	0-20 m	1.31118424721293	obs
Chlorophyll-a	2022-09-06	20 m to bottom	0.430977033480657	obs
Chlorophyll-a	2022-10-04	0-20 m	1.94257109411408	obs
Chlorophyll-a	2022-10-04	20 m to bottom	0.805974820782152	obs
Chlorophyll-a	2022-11-01	0-20 m	2.05908010359802	obs
