Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
473.93,0.001,473.93,684,0.07
473.94,0.001,473.94,685,0.07
473.95,0.001,473.95,687,0.07
473.96,0.001,473.96,689,0.07
473.97,0.001,473.97,691,0.07
473.98,0.001,473.98,692,0.07
473.99,0.001,473.99,694,0.07
474,0.001,474,696,0.07
474.01,0.001,474.01,698,0.07
474.02,0.001,474.02,699,0.07
474.03,0.001,474.03,701,0.07
474.04,0.001,474.04,703,0.07
474.05,0.001,474.05,704,0.07
474.06,0.001,474.06,706,0.07
474.07,0.001,474.07,708,0.07
474.08,0.001,474.08,710,0.07
474.09,0.001,474.09,711,0.07
474.1,0.001,474.1,713,0.07
474.11,0.001,474.11,715,0.07
474.12,0.001,474.12,717,0.07
474.13,0.001,474.13,718,0.07
474.14,0.001,474.14,720,0.07
474.15,0.001,474.15,722,0.07
474.16,0.001,474.16,724,0.07
474.17,0.001,474.17,725,0.07
474.18,0.001,474.18,727,0.07
474.19,0.001,474.19,729,0.07
474.2,0.001,474.2,731,0.07
474.21,0.001,474.21,732,0.07
474.22,0.001,474.22,734,0.07
474.23,0.001,474.23,736,0.07
474.24,0.001,474.24,738,0.07
474.25,0.001,474.25,739,0.07
474.26,0.001,474.26,741,0.07
474.27,0.001,474.27,743,0.07
474.28,0.001,474.28,744,0.07
474.29,0.001,474.29,746,0.07
474.3,0.001,474.3,748,0.07
474.31,0.001,474.31,750,0.07
474.32,0.001,474.32,751,0.08
474.33,0.001,474.33,753,0.08
474.34,0.001,474.34,755,0.08
474.35,0.001,474.35,757,0.08
474.36,0.001,474.36,758,0.08
474.37,0.001,474.37,760,0.08
474.38,0.001,474.38,762,0.08
474.39,0.001,474.39,764,0.08
474.4,0.001,474.4,765,0.08
474.41,0.001,474.41,767,0.08
474.42,0.001,474.42,769,0.08
474.43,0.001,474.43,771,0.08
474.44,0.001,474.44,772,0.08
474.45,0.001,474.45,774,0.08
474.46,0.001,474.46,776,0.08
474.47,0.001,474.47,778,0.08
474.48,0.001,474.48,779,0.08
474.49,0.001,474.49,781,0.08
474.5,0.001,474.5,783,0.08
474.51,0.001,474.51,785,0.08
474.52,0.001,474.52,786,0.08
474.53,0.001,474.53,788,0.08
474.54,0.001,474.54,790,0.08
474.55,0.001,474.55,791,0.08
474.56,0.001,474.56,793,0.08
474.57,0.001,474.57,795,0.08
474.58,0.001,474.58,797,0.08
474.59,0.001,474.59,798,0.08
474.6,0.001,474.6,800,0.08
474.61,0.001,474.61,802,0.08
474.62,0.001,474.62,804,0.08
474.63,0.001,474.63,805,0.08
474.64,0.001,474.64,807,0.08
474.65,0.001,474.65,809,0.08
474.66,0.001,474.66,811,0.08
474.67,0.001,474.67,812,0.08
474.68,0.001,474.68,814,0.08
474.69,0.001,474.69,816,0.08
474.7,0.001,474.7,818,0.08
474.71,0.001,474.71,819,0.08
474.72,0.001,474.72,821,0.08
474.73,0.001,474.73,823,0.08
474.74,0.001,474.74,825,0.08
474.75,0.001,474.75,826,0.08
474.76,0.001,474.76,828,0.08
474.77,0.001,474.77,830,0.08
474.78,0.001,474.78,831,0.08
474.79,0.001,474.79,833,0.08
474.8,0.001,474.8,835,0.08
474.81,0.001,474.81,837,0.08
474.82,0.001,474.82,838,0.08
474.83,0.001,474.83,840,0.08
474.84,0.001,474.84,842,0.08
474.85,0.001,474.85,844,0.08
474.86,0.001,474.86,845,0.08
474.87,0.001,474.87,847,0.08
474.88,0.001,474.88,849,0.08
474.89,0.001,474.89,851,0.09
474.9,0.001,474.9,852,0.09
474.91,0.001,474.91,854,0.09
474.92,0.001,474.92,856,0.09
474.93,0.001,474.93,858,0.09
474.94,0.001,474.94,859,0.09
474.95,0.001,474.95,861,0.09
474.96,0.001,474.96,863,0.09
474.97,0.001,474.97,865,0.09
474.98,0.001,474.98,866,0.09
474.99,0.001,474.99,868,0.09
475,0.001,475,870,0.09
475.01,0.001,475.01,969,0.1
475.02,0.001,475.02,1068,0.11
475.03,0.001,475.03,1168,0.12
475.04,0.001,475.04,1267,0.13
475.05,0.001,475.05,1366,0.14
475.06,0.001,475.06,1465,0.15
475.07,0.001,475.07,1565,0.16
475.08,0.001,475.08,1664,0.17
475.09,0.001,475.09,1763,0.18
475.1,0.001,475.1,1862,0.19
475.11,0.001,475.11,1962,0.2
475.12,0.001,475.12,2061,0.21
475.13,0.001,475.13,2160,0.22
475.14,0.001,475.14,2260,0.23
475.15,0.001,475.15,2359,0.24
475.16,0.001,475.16,2458,0.25
475.17,0.001,475.17,2557,0.26
475.18,0.001,475.18,2657,0.27
475.19,0.001,475.19,2756,0.28
475.2,0.001,475.2,2855,0.29
475.21,0.001,475.21,2954,0.3
475.22,0.001,475.22,3054,0.31
475.23,0.001,475.23,3153,0.32
475.24,0.001,475.24,3252,0.33
475.25,0.001,475.25,3352,0.34
475.26,0.001,475.26,3451,0.35
475.27,0.001,475.27,3550,0.36
475.28,0.001,475.28,3649,0.36
475.29,0.001,475.29,3749,0.37
475.3,0.001,475.3,3848,0.38
475.31,0.001,475.31,3947,0.39
475.32,0.002,475.32,4046,0.4
475.33,0.002,475.33,4146,0.41
475.34,0.002,475.34,4245,0.42
475.35,0.002,475.35,4344,0.43
475.36,0.002,475.36,4444,0.44
475.37,0.002,475.37,4543,0.45
475.38,0.002,475.38,4642,0.46
475.39,0.002,475.39,4741,0.47
475.4,0.002,475.4,4841,0.48
475.41,0.002,475.41,4940,0.49
475.42,0.002,475.42,5039,0.5
475.43,0.002,475.43,5138,0.51
475.44,0.002,475.44,5238,0.52
475.45,0.002,475.45,5337,0.53
475.46,0.002,475.46,5436,0.54
475.47,0.002,475.47,5536,0.55
