variable	Date	layer	mean_value	data_type
Temp	2008-10-12	0 m to bottom	12.1014486325066	mod
Temp	2008-10-13	0 m to bottom	12.0504752498334	mod
Temp	2008-10-14	0 m to bottom	12.0181622839053	mod
Temp	2008-10-15	0 m to bottom	11.9979897890428	mod
Temp	2008-10-16	0 m to bottom	11.9472871674781	mod
Temp	2008-10-17	0 m to bottom	11.8184899705381	mod
Temp	2008-10-18	0 m to bottom	11.6328156856483	mod
Temp	2008-10-19	0 m to bottom	11.4753481526335	mod
Temp	2008-10-20	0 m to bottom	11.3404868896425	mod
Temp	2008-10-21	0 m to bottom	11.2263338525323	mod
Temp	2008-10-22	0 m to bottom	11.1629152590471	mod
Temp	2008-10-23	0 m to bottom	11.0546822349551	mod
Temp	2008-10-24	0 m to bottom	10.889992329887	mod
Temp	2008-10-25	0 m to bottom	10.709221382559	mod
Temp	2008-10-26	0 m to bottom	10.5724868053364	mod
Temp	2008-10-27	0 m to bottom	10.4500711911577	mod
Temp	2008-10-28	0 m to bottom	10.3450712888724	mod
Temp	2008-10-29	0 m to bottom	10.2337197079665	mod
Temp	2008-10-30	0 m to bottom	10.0836180867608	mod
Temp	2008-10-31	0 m to bottom	9.91309786738656	mod
Temp	2008-11-01	0 m to bottom	9.76034555646171	mod
Temp	2008-11-02	0 m to bottom	9.64306495980438	mod
Temp	2008-11-03	0 m to bottom	9.56443183006494	mod
Temp	2008-11-04	0 m to bottom	9.50247302088783	mod
Temp	2008-11-05	0 m to bottom	9.4445533388069	mod
Temp	2008-11-06	0 m to bottom	9.39353191543837	mod
Temp	2008-11-07	0 m to bottom	9.34679827187652	mod
Temp	2008-11-08	0 m to bottom	9.28643343446341	mod
Temp	2008-11-09	0 m to bottom	9.189183487763	mod
Temp	2008-11-10	0 m to bottom	9.1027890535008	mod
Temp	2008-11-11	0 m to bottom	9.07985466935551	mod
Temp	2008-11-12	0 m to bottom	9.03239520224609	mod
Temp	2008-11-13	0 m to bottom	8.94059896741808	mod
Temp	2008-11-14	0 m to bottom	8.82362104412486	mod
Temp	2008-11-15	0 m to bottom	8.71175225016044	mod
Temp	2008-11-16	0 m to bottom	8.63236284018158	mod
Temp	2008-11-17	0 m to bottom	8.54449684781098	mod
Temp	2008-11-18	0 m to bottom	8.41376197670628	mod
Temp	2008-11-19	0 m to bottom	8.26837088532814	mod
Temp	2008-11-20	0 m to bottom	8.14503858447275	mod
Temp	2008-11-21	0 m to bottom	8.01073152510941	mod
Temp	2008-11-22	0 m to bottom	7.79450316835699	mod
Temp	2008-11-23	0 m to bottom	7.51734196044644	mod
Temp	2008-11-24	0 m to bottom	7.29087794101833	mod
Temp	2008-11-25	0 m to bottom	7.11428474589936	mod
Temp	2008-11-26	0 m to bottom	6.9256330162687	mod
Temp	2008-11-27	0 m to bottom	6.75153050411898	mod
Temp	2008-11-28	0 m to bottom	6.60242692473038	mod
Temp	2008-11-29	0 m to bottom	6.43058242584389	mod
Temp	2008-11-30	0 m to bottom	6.25500484405587	mod
Temp	2008-12-01	0 m to bottom	6.11008771162925	mod
Temp	2008-12-02	0 m to bottom	5.98821826356507	mod
Temp	2008-12-03	0 m to bottom	5.84935437728465	mod
Temp	2008-12-04	0 m to bottom	5.67554713095809	mod
Temp	2008-12-05	0 m to bottom	5.52927355527047	mod
Temp	2008-12-06	0 m to bottom	5.44106776282136	mod
Temp	2008-12-07	0 m to bottom	5.36949085918501	mod
Temp	2008-12-08	0 m to bottom	5.29359584202912	mod
Temp	2008-12-09	0 m to bottom	5.1984105828657	mod
Temp	2008-12-10	0 m to bottom	5.08820967476379	mod
Temp	2008-12-11	0 m to bottom	4.99608427519278	mod
Temp	2008-12-12	0 m to bottom	4.89894580568246	mod
Temp	2008-12-13	0 m to bottom	4.79351402183627	mod
Temp	2008-12-14	0 m to bottom	4.67009711082727	mod
Temp	2008-12-15	0 m to bottom	4.5378013290577	mod
